Order Dt,Time,Ticket#,Dish,Qty
2022-01-01,00:00:00,T-2200001,Bruschetta,4
01/01/2022,00:00:00,T-2200001,Turkey Dishes,2
2022-01-01,00:00:00,T-2200001,Grilled Vegetables,4
2022-01-01,00:00:00,T-2200001,,4
2022-01-01,00:00:00,T-2200001,beer,3
2022-01-01,00:36:00,T-2200002,shrimp cocktail,4
2022-01-01,00:36:00,T-2200002,Grilled Fish,4
2022-01-01,00:36:00,T-2200002,GRILLED VEGETABLES,5
2022-01-01,00:36:00,T-2200002,Custard,4
01/01/2022,00:36:00,T-2200002,Whiskey,4
2022-01-01,01:12:00,T-2200003,CalamariRings,8
01/01/2022,01:12:00,T-2200003,steaks,2
2022-01-01,01:12:00,T-2200003,,5
2022-01-01,01:12:00,T-2200003,fruit salad,5
2022-01-01,01:12:00,T-2200003,iced tea,1
2022-01-01,01:48:00,T-2200004,Bruschetta,4
2022-01-01,01:48:00,T-2200004,Chicken Breast,4
2022-01-01,01:48:00,T-2200004,French Fries,2
2022-01-01,01:48:00,T-2200004,Carrot Cake,10
01/01/2022,01:48:00,T-2200004,,1
2022-01-01,02:24:00,T-2200005,Bruschetta,1
2022-01-01,02:24:00,T-2200005,Pork Chops,6
2022-01-01,02:24:00,T-2200005,Plain Rice,2
2022-01-01,02:24:00,T-2200005,chocolate pudding,11
2022-01-01,02:24:00,T-2200005,VODKA,1
2022-01-01,03:00:00,T-2200006,Spring Rolls,3
2022-01-01,03:00:00,T-2200006,FRIED FISH,3
2022-01-01,03:00:00,T-2200006,PLAIN RICE,8
2022-01-01,03:00:00,T-2200006,Key Lime Pie,3
01/01/2022,03:00:00,T-2200006,Wine,2
2022-01-01,03:36:00,T-2200007,Caesar Salad,3
2022-01-01,03:36:00,T-2200007,Vegetable Stir-Fry,7
2022-01-01,03:36:00,T-2200007,French Fries,5
2022-01-01,03:36:00,T-2200007,Tiramisu,4
2022-01-01,03:36:00,T-2200007,soda,3
2022-01-01,04:12:00,T-2200008,SHRIMP COCKTAIL,4
2022-01-01,04:12:00,T-2200008,vegetable stir-fry,6
2022-01-01,04:12:00,T-2200008,Dinner Rolls,5
2022-01-01,04:12:00,T-2200008,rice pudding,8
2022-01-01,04:12:00,T-2200008,Lemonade,2
2022-01-01,04:48:00,T-2200009,CALAMARI RINGS,2
2022-01-01,04:48:00,T-2200009,Seafood Pasta,5
2022-01-01,04:48:00,T-2200009,FRIED RICE,4
2022-01-01,04:48:00,T-2200009,chocolate pudding,5
2022-01-01,04:48:00,T-2200009,Vodka,7
01/01/2022,05:24:00,T-2200010,Tomato Soup,1
2022-01-01,05:24:00,T-2200010,Chicken Breast,2
01/01/2022,05:24:00,T-2200010,Mashed Potatoes,6
2022-01-01,05:24:00,T-2200010,Custard,9
2022-01-01,05:24:00,T-2200010,ICED TEA,4
2022-01-01,06:00:00,T-2200011,Bruschetta,5
2022-01-01,06:00:00,T-2200011,Turkey Dishes,9
2022-01-01,06:00:00,T-2200011,Dinner Rolls,7
2022-01-01,06:00:00,T-2200011,Cheesecake,4
2022-01-01,06:00:00,T-2200011,Vodka,1
2022-01-01,06:36:00,T-2200012,CHICKEN SOUP,1
2022-01-01,06:36:00,T-2200012,VegetarianPasta,4
2022-01-01,06:36:00,T-2200012,fried rice,2
2022-01-01,06:36:00,T-2200012,FRUIT SALAD,10
2022-01-01,06:36:00,T-2200012,Lemonade,1
01/01/2022,07:12:00,T-2200013,GardenSalad,5
2022-01-01,07:12:00,T-2200013,Lasagna,7
2022-01-01,07:12:00,T-2200013,Fried Rice,3
01/01/2022,07:12:00,T-2200013,Apple Pie,2
2022-01-01,07:12:00,T-2200013,Beer,1
2022-01-01,07:48:00,T-2200014,Chicken Soup,3
2022-01-01,07:48:00,T-2200014,SALADS,4
2022-01-01,07:48:00,T-2200014,SteamedVegetables,3
2022-01-01,07:48:00,T-2200014,cheesecake,6
2022-01-01,07:48:00,T-2200014,Water,1
01/01/2022,08:24:00,T-2200015,SEAFOOD SKEWERS,6
2022-01-01,08:24:00,T-2200015,Turkey Dishes,5
2022-01-01,08:24:00,T-2200015,garlic bread,1
2022-01-01,08:24:00,T-2200015,Apple Pie,3
2022-01-01,08:24:00,T-2200015,water,1
2022-01-01,09:00:00,T-2200016,Caesar Salad,2
2022-01-01,09:00:00,T-2200016,Lasagna,8
01/01/2022,09:00:00,T-2200016,,9
2022-01-01,09:00:00,T-2200016,CUSTARD,7
01/01/2022,09:00:00,T-2200016,Whiskey,2
2022-01-01,09:36:00,T-2200017,Chicken Soup,6
2022-01-01,09:36:00,T-2200017,Sushi Rolls,6
01/01/2022,09:36:00,T-2200017,,5
01/01/2022,09:36:00,T-2200017,Various Flavors with Toppings,5
2022-01-01,09:36:00,T-2200017,,3
2022-01-01,10:12:00,T-2200018,SEAFOOD SKEWERS,7
2022-01-01,10:12:00,T-2200018,vegetarian pasta,5
2022-01-01,10:12:00,T-2200018,Pilaf,1
01/01/2022,10:12:00,T-2200018,Carrot Cake,3
2022-01-01,10:12:00,T-2200018,cocktails,5
2022-01-01,10:48:00,T-2200019,Seafood Skewers,3
2022-01-01,10:48:00,T-2200019,Lasagna,5
01/01/2022,10:48:00,T-2200019,Roasted Potatoes,9
2022-01-01,10:48:00,T-2200019,FruitSalad,7
2022-01-01,10:48:00,T-2200019,Water,2
2022-01-01,11:24:00,T-2200020,chicken soup,7
2022-01-01,11:24:00,T-2200020,RAVIOLI,8
2022-01-01,11:24:00,T-2200020,Garlic Bread,2
2022-01-01,11:24:00,T-2200020,SlicedFruits,9
01/01/2022,11:24:00,T-2200020,Coffee,5
2022-01-01,12:00:00,T-2200021,seafood skewers,5
2022-01-01,12:00:00,T-2200021,Lamb Chops,6
2022-01-01,12:00:00,T-2200021,PLAIN RICE,9
2022-01-01,12:00:00,T-2200021,ChocolateCake,5
01/01/2022,12:00:00,T-2200021,SODA,1
01/01/2022,12:36:00,T-2200022,CAESAR SALAD,4
2022-01-01,12:36:00,T-2200022,Vegetable Stir-Fry,7
2022-01-01,12:36:00,T-2200022,Potato Wedges,7
2022-01-01,12:36:00,T-2200022,ChocolateCake,3
2022-01-01,12:36:00,T-2200022,,1
2022-01-01,13:12:00,T-2200023,Tomato Soup,1
2022-01-01,13:12:00,T-2200023,Burgers,5
2022-01-01,13:12:00,T-2200023,roasted potatoes,1
2022-01-01,13:12:00,T-2200023,Sliced Fruits,3
2022-01-01,13:12:00,T-2200023,Lemonade,2
01/01/2022,13:48:00,T-2200024,caesar salad,3
2022-01-01,13:48:00,T-2200024,Spaghetti,5
2022-01-01,13:48:00,T-2200024,Dinner Rolls,4
2022-01-01,13:48:00,T-2200024,Apple Pie,6
2022-01-01,13:48:00,T-2200024,COFFEE,5
2022-01-01,14:24:00,T-2200025,Caesar Salad,3
2022-01-01,14:24:00,T-2200025,RAVIOLI,1
2022-01-01,14:24:00,T-2200025,Mixed Vegetable Medley,3
2022-01-01,14:24:00,T-2200025,Fruit Platter,9
2022-01-01,14:24:00,T-2200025,COFFEE,2
2022-01-01,15:00:00,T-2200026,ChickenSoup,5
2022-01-01,15:00:00,T-2200026,Vegetarian Pasta,2
01/01/2022,15:00:00,T-2200026,,3
01/01/2022,15:00:00,T-2200026,FRUIT PLATTER,5
2022-01-01,15:00:00,T-2200026,Juice,5
2022-01-01,15:36:00,T-2200027,Spring Rolls,6
2022-01-01,15:36:00,T-2200027,Ravioli,4
2022-01-01,15:36:00,T-2200027,French Fries,4
2022-01-01,15:36:00,T-2200027,,3
2022-01-01,15:36:00,T-2200027,water,2
2022-01-01,16:12:00,T-2200028,caesar salad,5
2022-01-01,16:12:00,T-2200028,VegetableStir-Fry,8
2022-01-01,16:12:00,T-2200028,,4
2022-01-01,16:12:00,T-2200028,CHOCOLATE CAKE,6
01/01/2022,16:12:00,T-2200028,iced tea,5
2022-01-01,16:48:00,T-2200029,Samosas,4
2022-01-01,16:48:00,T-2200029,Lasagna,7
2022-01-01,16:48:00,T-2200029,garlic bread,7
2022-01-01,16:48:00,T-2200029,various flavors with toppings,3
01/01/2022,16:48:00,T-2200029,Lemonade,5
2022-01-01,17:24:00,T-2200030,CaesarSalad,4
2022-01-01,17:24:00,T-2200030,Sushi Rolls,6
2022-01-01,17:24:00,T-2200030,Mashed Potatoes,5
01/01/2022,17:24:00,T-2200030,Various Flavors with Toppings,5
01/01/2022,17:24:00,T-2200030,Water,6
2022-01-01,18:00:00,T-2200031,Spring Rolls,7
2022-01-01,18:00:00,T-2200031,Lasagna,8
2022-01-01,18:00:00,T-2200031,RoastedPotatoes,2
01/01/2022,18:00:00,T-2200031,Carrot Cake,8
2022-01-01,18:00:00,T-2200031,Lemonade,2
2022-01-01,18:36:00,T-2200032,Spring Rolls,5
2022-01-01,18:36:00,T-2200032,FETTUCCINE,2
2022-01-01,18:36:00,T-2200032,FrenchFries,3
2022-01-01,18:36:00,T-2200032,Fruit Salad,7
2022-01-01,18:36:00,T-2200032,Soda,1
2022-01-01,19:12:00,T-2200033,spring rolls,2
2022-01-01,19:12:00,T-2200033,Vegetarian Pasta,6
2022-01-01,19:12:00,T-2200033,Naan Bread,6
2022-01-01,19:12:00,T-2200033,Key Lime Pie,3
2022-01-01,19:12:00,T-2200033,Liqueurs,1
2022-01-01,19:48:00,T-2200034,Samosas,3
2022-01-01,19:48:00,T-2200034,spaghetti,4
2022-01-01,19:48:00,T-2200034,FriedRice,1
2022-01-01,19:48:00,T-2200034,fruit salad,8
01/01/2022,19:48:00,T-2200034,VODKA,1
2022-01-01,20:24:00,T-2200035,shrimp cocktail,1
2022-01-01,20:24:00,T-2200035,Ravioli,6
2022-01-01,20:24:00,T-2200035,Pilaf,6
01/01/2022,20:24:00,T-2200035,SLICED FRUITS,9
2022-01-01,20:24:00,T-2200035,Liqueurs,3
01/01/2022,21:00:00,T-2200036,SpringRolls,4
01/01/2022,21:00:00,T-2200036,Roasted Duck,1
2022-01-01,21:00:00,T-2200036,Steamed Vegetables,5
2022-01-01,21:00:00,T-2200036,fruit platter,2
